NVCBP8A,NVCBP8G,NVCBP12,NVCBP13,NVCBP14A,NVCBP14B,NVCBP14D,NVCBP14I,NVCBP15D,NVCBP15F,NPCFP14I,DPTOMPIO,NPCEP5,NPCEP4,NVCBP12,NVCBP13,Fecha_anio
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,39,1,4,2017
2,2,1,4,1,1,1,2,1,1,1,Bogotá,2,22,1,4,2017
2,2,1,2,2,2,2,2,2,2,1,Bogotá,2,29,1,2,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,11,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,37,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,86,1,4,2017
2,2,1,3,2,2,2,2,2,2,1,Bogotá,2,65,1,3,2017
2,2,1,4,2,2,2,2,1,1,1,Bogotá,2,52,1,4,2017
2,2,1,4,2,2,2,2,1,1,1,Bogotá,1,15,1,4,2017
2,2,1,2,2,2,2,2,2,2,1,Bogotá,2,26,1,2,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,18,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,17,1,4,2017
1,1,1,4,1,1,1,2,1,1,1,Bogotá,1,24,1,4,2017
2,2,1,4,1,1,1,1,1,2,1,Bogotá,1,14,1,4,2017
1,2,1,6,2,2,2,2,2,2,1,Bogotá,2,27,1,6,2017
2,2,1,4,2,1,2,1,1,2,1,Bogotá,2,74,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,28,1,4,2017
1,1,1,6,2,2,2,2,2,1,1,Bogotá,2,16,1,6,2017
1,1,1,6,2,2,2,2,2,2,1,Bogotá,2,27,1,6,2017
2,2,1,4,2,2,2,1,2,1,1,Bogotá,2,13,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,27,1,4,2017
2,2,1,2,2,2,2,2,1,2,1,Bogotá,1,66,1,2,2017
2,2,1,2,2,2,2,2,1,2,1,Bogotá,2,19,1,2,2017
1,2,1,4,2,2,2,2,1,2,1,Bogotá,1,63,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,36,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,82,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,27,1,4,2017
1,2,1,4,2,2,2,2,2,1,1,Bogotá,1,74,1,4,2017
1,2,1,4,2,2,2,2,2,1,1,Bogotá,1,11,1,4,2017
2,2,1,4,2,2,2,2,2,1,1,Bogotá,1,64,1,4,2017
1,2,1,4,2,1,2,2,1,1,1,Bogotá,1,13,1,4,2017
2,1,1,4,2,1,2,2,1,1,1,Bogotá,2,51,1,4,2017
2,1,1,4,2,1,2,2,1,1,1,Bogotá,1,24,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,36,1,4,2017
1,2,1,4,2,2,2,2,1,2,1,Bogotá,1,21,1,4,2017
2,2,1,4,2,1,1,2,2,2,1,Bogotá,2,10,1,4,2017
2,2,1,4,2,1,1,2,2,2,1,Bogotá,1,6,1,4,2017
2,2,1,4,2,2,2,1,1,2,1,Bogotá,2,19,1,4,2017
2,2,1,4,2,1,2,2,1,2,1,Bogotá,2,76,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,9,1,4,2017
1,2,1,4,2,2,2,1,1,2,1,Bogotá,2,19,1,4,2017
2,2,1,4,2,2,2,1,1,2,1,Bogotá,1,12,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,7,1,4,2017
2,2,1,4,2,2,2,2,1,1,1,Bogotá,1,13,1,4,2017
1,1,1,4,2,1,1,2,1,1,1,Bogotá,1,53,1,4,2017
2,2,1,4,1,2,1,1,1,2,1,Bogotá,1,54,1,4,2017
1,2,1,4,2,1,1,1,1,1,1,Bogotá,1,50,1,4,2017
1,2,1,6,2,2,2,2,1,1,1,Bogotá,2,6,1,6,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,67,1,4,2017
2,2,1,4,1,1,1,1,1,1,1,Bogotá,2,56,1,4,2017
2,1,1,4,2,1,2,2,1,1,1,Bogotá,1,70,1,4,2017
2,2,1,4,2,1,1,2,1,1,1,Bogotá,1,21,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,42,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,4,1,4,2017
2,2,1,4,2,2,1,2,2,2,1,Bogotá,1,71,1,4,2017
1,2,1,4,2,2,2,2,1,1,1,Bogotá,2,53,1,4,2017
1,2,1,4,2,2,2,1,1,1,1,Bogotá,2,71,1,4,2017
2,1,1,4,1,2,2,2,2,2,1,Bogotá,2,47,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,88,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,81,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,58,1,4,2017
1,1,1,4,2,2,2,2,2,2,1,Bogotá,2,59,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,79,1,4,2017
2,2,1,6,2,1,2,2,1,2,1,Bogotá,2,72,1,6,2017
2,2,1,3,2,1,1,2,2,1,1,Bogotá,1,22,1,3,2017
1,2,1,4,2,1,1,1,1,1,1,Bogotá,2,40,1,4,2017
1,1,1,3,1,1,1,2,1,1,1,Bogotá,2,40,1,3,2017
1,1,1,3,1,1,1,2,1,1,1,Bogotá,1,14,1,3,2017
1,2,1,6,2,1,1,2,1,1,1,Bogotá,1,16,1,6,2017
2,2,1,4,2,2,1,2,2,2,1,Bogotá,1,9,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,87,1,4,2017
2,2,1,4,1,2,2,2,2,2,1,Bogotá,2,23,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,81,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,83,1,4,2017
2,2,1,3,2,2,2,2,2,2,1,Bogotá,1,45,1,3,2017
2,2,3,4,2,2,2,2,2,2,1,Bogotá,1,45,3,4,2017
1,9,1,4,2,2,2,2,2,2,1,Bogotá,1,56,1,4,2017
1,1,1,4,2,1,2,2,2,1,1,Bogotá,2,14,1,4,2017
2,2,1,4,1,2,2,2,2,2,1,Bogotá,2,63,1,4,2017
1,2,1,6,1,2,2,2,1,2,1,Bogotá,1,72,1,6,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,53,1,4,2017
2,2,1,4,1,2,2,2,1,2,1,Bogotá,2,60,1,4,2017
2,1,1,4,2,2,2,2,2,2,1,Bogotá,1,40,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,20,1,4,2017
2,2,1,4,2,2,2,2,1,1,1,Bogotá,1,46,1,4,2017
1,2,1,4,2,2,1,2,1,1,1,Bogotá,1,65,1,4,2017
1,2,1,4,1,2,2,2,1,1,1,Bogotá,1,7,1,4,2017
1,2,1,4,1,2,2,2,2,2,1,Bogotá,2,27,1,4,2017
2,2,1,4,2,2,1,1,1,2,1,Bogotá,2,16,1,4,2017
1,2,1,3,2,2,1,1,1,1,1,Bogotá,1,11,1,3,2017
2,2,1,4,2,2,2,1,1,1,1,Bogotá,2,6,1,4,2017
2,2,1,4,2,2,2,1,1,1,1,Bogotá,2,3,1,4,2017
2,2,1,4,1,2,1,1,2,2,1,Bogotá,2,45,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,46,1,4,2017
1,2,1,4,2,2,2,1,2,2,1,Bogotá,1,92,1,4,2017
2,2,1,2,2,2,2,2,2,2,1,Bogotá,2,39,1,2,2017
2,2,1,4,1,2,2,1,1,2,1,Bogotá,2,61,1,4,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,7,1,4,2017
1,2,1,4,2,2,2,2,2,1,1,Bogotá,2,67,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,21,1,4,2017
2,2,1,2,2,2,2,2,1,2,1,Bogotá,2,29,1,2,2017
2,2,1,4,2,2,2,2,1,1,1,Bogotá,1,22,1,4,2017
1,1,1,4,1,2,1,2,2,2,1,Bogotá,2,28,1,4,2017
1,1,1,4,1,2,2,2,1,1,1,Bogotá,2,21,1,4,2017
2,2,1,4,1,2,2,2,2,2,1,Bogotá,2,25,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,15,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,58,1,4,2017
2,1,1,4,2,2,2,2,2,2,1,Bogotá,1,7,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,1,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,27,1,4,2017
1,2,1,4,1,2,2,2,1,2,1,Bogotá,2,8,1,4,2017
2,2,1,4,2,2,2,1,2,2,1,Bogotá,1,53,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,69,1,4,2017
1,1,1,4,1,1,1,2,1,2,1,Bogotá,2,68,1,4,2017
2,2,1,4,1,2,1,2,1,2,1,Bogotá,2,33,1,4,2017
2,2,1,4,2,2,1,2,1,2,1,Bogotá,1,31,1,4,2017
1,2,1,4,1,2,2,2,1,1,1,Bogotá,2,77,1,4,2017
2,2,1,4,1,2,2,2,2,2,1,Bogotá,1,24,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,9,1,4,2017
1,2,1,4,1,2,2,1,2,2,1,Bogotá,1,18,1,4,2017
1,2,1,4,1,2,2,1,2,2,1,Bogotá,1,12,1,4,2017
1,2,1,4,1,2,2,1,2,2,1,Bogotá,1,12,1,4,2017
1,1,1,6,2,2,2,2,1,1,1,Bogotá,2,1,1,6,2017
2,2,1,2,2,2,2,2,2,2,1,Bogotá,1,10,1,2,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,63,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,34,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,13,1,4,2017
2,2,1,5,2,2,2,2,2,2,1,Bogotá,2,49,1,5,2017
2,2,1,2,2,2,2,2,1,1,1,Bogotá,1,20,1,2,2017
2,2,1,4,2,2,2,2,1,1,1,Bogotá,1,19,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,39,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,14,1,4,2017
1,2,1,4,2,2,2,1,2,1,1,Bogotá,1,26,1,4,2017
1,1,1,7,2,2,2,2,2,1,1,Bogotá,2,40,1,7,2017
2,9,1,4,2,2,2,2,2,2,1,Bogotá,1,65,1,4,2017
2,9,1,4,2,2,2,2,2,2,1,Bogotá,2,57,1,4,2017
2,9,1,4,2,2,2,2,2,2,1,Bogotá,2,19,1,4,2017
9,9,1,6,1,2,2,2,2,2,1,Bogotá,2,14,1,6,2017
2,2,1,4,2,1,2,2,1,1,1,Bogotá,1,26,1,4,2017
2,2,1,4,2,1,2,2,1,1,1,Bogotá,2,59,1,4,2017
1,2,1,4,2,2,2,2,1,1,1,Bogotá,2,14,1,4,2017
2,2,1,2,2,2,2,2,2,2,1,Bogotá,2,49,1,2,2017
2,2,1,4,2,2,2,1,2,2,1,Bogotá,2,29,1,4,2017
2,2,1,4,2,1,2,2,2,1,1,Bogotá,2,49,1,4,2017
1,2,1,4,2,2,2,2,1,1,1,Bogotá,2,25,1,4,2017
2,2,1,2,2,2,2,2,1,2,1,Bogotá,2,43,1,2,2017
1,1,1,4,2,2,2,2,1,2,1,Bogotá,2,67,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,70,1,4,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,15,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,19,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,54,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,24,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,67,1,4,2017
1,2,1,4,2,2,2,1,2,2,1,Bogotá,1,25,1,4,2017
1,2,1,4,2,2,1,2,1,1,1,Bogotá,1,52,1,4,2017
2,2,1,5,2,2,2,2,1,2,1,Bogotá,2,17,1,5,2017
1,1,1,4,2,2,2,1,1,2,1,Bogotá,2,12,1,4,2017
2,2,1,4,2,2,2,2,2,1,1,Bogotá,1,41,1,4,2017
2,2,1,4,2,2,2,2,2,1,1,Bogotá,2,18,1,4,2017
1,2,1,4,2,2,2,2,1,1,1,Bogotá,2,11,1,4,2017
2,2,1,5,2,2,2,2,2,1,1,Bogotá,2,23,1,5,2017
1,2,1,4,2,1,1,2,1,2,1,Bogotá,2,46,1,4,2017
2,1,1,4,2,2,1,2,2,2,1,Bogotá,1,37,1,4,2017
2,2,1,4,2,1,2,2,1,2,1,Bogotá,2,28,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,60,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,38,1,4,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,65,1,4,2017
2,2,1,6,2,2,1,1,1,2,1,Bogotá,1,18,1,6,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,49,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,3,1,4,2017
2,2,1,4,2,2,1,1,1,1,1,Bogotá,2,20,1,4,2017
2,2,1,4,2,2,2,2,1,2,1,Bogotá,1,13,1,4,2017
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,4,1,4,2017
2,2,1,4,2,2,1,2,1,1,1,Bogotá,2,30,1,4,2017
2,2,1,4,1,2,2,2,1,2,1,Bogotá,2,9,1,4,2017
2,2,1,4,2,2,1,2,2,2,1,Bogotá,2,12,1,4,2017
2,2,1,4,1,2,2,2,1,1,1,Bogotá,1,17,1,4,2017
2,2,1,4,2,2,2,2,2,1,1,Bogotá,2,20,1,4,2017
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,56,1,4,2017
1,2,1,4,2,1,1,1,1,2,1,Bogotá,2,61,1,4,2017
2,2,1,4,1,2,2,2,2,2,1,Bogotá,2,13,1,4,2017
2,2,1,6,2,2,2,2,1,2,1,Bogotá,2,23,1,6,2017
2,2,1,6,2,2,2,2,1,2,1,Bogotá,2,3,1,6,2017
2,2,1,4,1,2,1,2,2,2,1,Bogotá,2,49,1,4,2017
2,2,1,4,1,2,1,2,2,2,1,Bogotá,2,17,1,4,2017
