NVCBP8A,NVCBP8G,NVCBP12,NVCBP13,NVCBP14A,NVCBP14B,NVCBP14D,NVCBP14I,NVCBP15D,NVCBP15F,NPCFP14F,MPIO,NPCEP5,NPCEP4,NVCBP12,NVCBP13,Fecha_anio
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,70,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,60,1,4,2021
2,2,1,4,1,2,2,1,1,2,1,Bogotá,1,13,1,4,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,1,38,1,4,2021
1,2,1,4,1,2,2,2,1,2,1,Bogotá,2,56,1,4,2021
1,2,1,4,2,2,1,2,2,1,1,Bogotá,2,96,1,4,2021
1,2,1,4,2,2,2,2,2,1,1,Bogotá,2,25,1,4,2021
2,2,1,4,1,1,2,2,1,1,1,Bogotá,1,70,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,65,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,76,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,79,1,4,2021
1,2,1,5,2,2,2,2,2,2,1,Bogotá,1,28,1,5,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,75,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,17,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,16,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,43,1,4,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,1,71,1,4,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,25,1,4,2021
2,2,1,5,2,2,2,2,2,2,1,Bogotá,1,25,1,5,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,7,1,4,2021
2,2,1,4,1,2,1,2,2,2,1,Bogotá,2,71,1,4,2021
2,2,1,5,1,2,2,2,2,1,1,Bogotá,2,11,1,5,2021
2,2,1,4,2,2,2,2,1,1,1,Bogotá,2,64,1,4,2021
1,2,1,4,1,1,2,1,1,1,1,Bogotá,1,21,1,4,2021
2,2,1,2,2,2,2,2,2,2,1,Bogotá,2,41,1,2,2021
2,2,1,2,2,2,2,2,2,2,1,Bogotá,2,36,1,2,2021
2,2,1,4,1,2,2,2,2,2,1,Bogotá,1,36,1,4,2021
9,9,1,4,2,2,2,2,2,2,1,Bogotá,2,60,1,4,2021
1,1,2,6,2,2,2,2,2,1,1,Bogotá,2,64,2,6,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,50,1,4,2021
1,2,1,4,2,2,2,2,1,1,1,Bogotá,2,30,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,38,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,72,1,4,2021
1,2,1,4,2,1,1,2,2,2,1,Bogotá,1,4,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,2,23,1,4,2021
2,2,1,4,2,2,2,2,1,1,1,Bogotá,1,43,1,4,2021
2,2,1,4,2,2,2,2,1,1,1,Bogotá,1,19,1,4,2021
2,2,1,4,2,2,2,2,1,1,1,Bogotá,1,8,1,4,2021
2,2,1,4,2,2,1,2,2,2,1,Bogotá,1,52,1,4,2021
2,2,1,4,2,2,1,2,2,2,1,Bogotá,1,63,1,4,2021
2,2,1,4,2,2,1,2,2,2,1,Bogotá,2,66,1,4,2021
2,2,1,4,2,2,2,2,2,2,1,Bogotá,1,76,1,4,2021
1,2,1,2,1,1,2,2,1,2,1,Bogotá,2,86,1,2,2021
2,2,1,4,2,2,2,2,1,2,1,Bogotá,2,76,1,4,2021
1,1,1,6,2,2,1,1,2,2,1,Bogotá,1,9,1,6,2021
1,2,1,4,2,2,2,2,2,2,1,Bogotá,2,52,1,4,2021
1,2,1,6,2,1,2,2,1,1,1,Bogotá,1,83,1,6,2021
2,2,1,4,2,2,1,2,2,2,1,Bogotá,1,36,1,4,2021
1,2,1,4,1,2,2,2,1,2,1,Bogotá,2,65,1,4,2021
2,2,1,2,2,2,2,2,2,2,1,Bogotá,2,31,1,2,2021
2,2,1,4,1,2,2,2,1,2,1,Bogotá,1,68,1,4,2021
2,9,1,4,2,2,2,2,2,2,1,Bogotá,2,10,1,4,2021
