DIRECTORIO_PER,sexo,edad,Edad Actual
10103311,1,39,Y
10104112,2,22,Y
10104213,2,29,Y
10104713,1,11,Y
10105914,2,37,Y
10105915,1,86,Y
10106311,2,65,Y
10108911,2,52,Y
10108914,1,15,Y
10114221,2,26,Y
10115822,1,18,Y
10118916,2,17,Y
10120013,1,24,Y
10120812,1,14,Y
10123812,2,27,Y
10127011,2,74,Y
10128111,1,28,Y
10129118,2,16,Y
10129614,2,27,Y
10139713,2,13,Y
10140612,2,27,Y
10141911,1,66,Y
10141912,2,19,Y
10142011,1,63,Y
10144311,1,36,Y
10144511,2,82,Y
10145213,2,27,Y
10154311,1,74,Y
10154315,1,11,Y
10155011,1,64,Y
10155113,1,13,Y
10162411,2,51,Y
10162412,1,24,Y
10168912,2,36,Y
10170114,1,21,Y
10171315,2,10,Y
10171316,1,6,Y
10174613,2,19,Y
10175112,2,76,Y
10175713,2,9,Y
10175913,2,19,Y
10176413,1,12,Y
10176513,1,7,Y
10179314,1,13,Y
10180811,1,53,Y
10185811,1,54,Y
10189311,1,50,Y
10190413,2,6,Y
10190912,2,67,Y
10191012,2,56,Y
10191211,1,70,Y
10192713,1,21,Y
10200411,1,42,Y
10200413,1,4,Y
10212411,1,71,Y
10213112,2,53,Y
10213511,2,71,Y
10214712,2,47,Y
10216211,1,88,Y
10216212,2,81,Y
10216911,1,58,Y
10217011,2,59,Y
10217911,2,79,Y
10219711,2,72,Y
10220113,1,22,Y
10220511,2,40,Y
10220711,2,40,Y
10220713,1,14,Y
10221213,1,16,Y
10222312,1,9,Y
10226914,2,87,Y
10229811,2,23,Y
10234212,2,81,Y
10234511,1,83,Y
10236011,1,45,Y
10236711,1,45,Y
10238911,1,56,Y
10239213,2,14,Y
10246415,2,63,Y
10246711,1,72,Y
10247711,2,53,Y
10248511,2,60,Y
10251212,1,40,Y
10251912,1,20,Y
10252711,1,46,Y
10252911,1,65,Y
10253512,1,7,Y
10256012,2,27,Y
10256914,2,16,Y
10258813,1,11,Y
10260013,2,6,Y
10260015,2,3,Y
10261112,2,45,Y
10261211,2,46,Y
10261911,1,92,Y
10266811,2,39,Y
10267811,2,61,Y
10267915,2,7,Y
10268611,2,67,Y
10276612,2,21,Y
10278312,2,29,Y
10283311,1,22,Y
10283712,2,28,Y
10289612,2,21,Y
10289812,2,25,Y
10296314,2,15,Y
10296912,2,58,Y
10300614,1,7,Y
10302113,2,1,Y
10312915,1,27,Y
10313213,2,8,Y
10319411,1,53,Y
10319521,2,69,Y
10320011,2,68,Y
10320711,2,33,Y
10321211,1,31,Y
10325115,2,77,Y
10325514,1,24,Y
10329213,1,9,Y
10329913,1,18,Y
10329914,1,12,Y
10329915,1,12,Y
10331914,2,1,Y
10332015,1,10,Y
10333511,2,63,Y
10333512,1,34,Y
10333514,1,13,Y
10334112,2,49,Y
10338111,1,20,Y
10338312,1,19,Y
10340111,2,39,Y
10340112,2,14,Y
10341413,1,26,Y
10341511,2,40,Y
10344211,1,65,Y
10344212,2,57,Y
10344214,2,19,Y
10344318,2,14,Y
10344712,1,26,Y
10345312,2,59,Y
10375312,2,14,Y
10378312,2,49,Y
10383512,2,29,Y
10386912,2,49,Y
10387014,2,25,Y
10387212,2,43,Y
10389411,2,67,Y
10389511,1,70,Y
10389914,2,15,Y
10390922,2,19,Y
10393912,2,54,Y
10395113,2,24,Y
10408312,2,67,Y
10410022,1,25,Y
10410623,1,52,Y
10413612,2,17,Y
10413813,2,12,Y
10414611,1,41,Y
10414613,2,18,Y
10415514,2,11,Y
10418311,2,23,Y
10422512,2,46,Y
10424511,1,37,Y
10427211,2,28,Y
10428911,2,60,Y
10429512,2,38,Y
10440911,2,65,Y
10441414,1,18,Y
10442912,1,49,Y
10443614,2,3,Y
10444812,2,20,Y
10445713,1,13,Y
10446422,1,4,Y
10451114,2,30,Y
10451614,2,9,Y
10451714,2,12,Y
10451914,1,17,Y
10453112,2,20,Y
10453911,1,56,Y
10456612,2,61,Y
10460014,2,13,Y
10460612,2,23,Y
10460614,2,3,Y
10461612,2,49,Y
10461614,2,17,Y
10464412,1,22,Y
10465013,2,71,Y
10466514,2,5,Y
10470911,2,59,Y
10471513,2,20,Y
10473612,2,78,Y
10475511,2,56,Y
10476912,2,74,Y
10477112,1,18,Y
10482114,2,23,Y
10484713,2,28,Y
10488013,2,88,Y
10488812,2,95,Y
10495915,1,27,Y
10496617,2,5,Y
10497713,2,16,Y
10499611,1,53,Y
10501911,2,53,Y
10501913,2,63,Y
10502611,1,53,Y
10502811,1,66,Y
10502912,2,60,Y
10502914,1,36,Y
10503111,1,30,Y
10503113,2,37,Y
10503812,1,28,Y
10507312,2,22,Y
10508112,1,38,Y
10509314,1,16,Y
10509613,2,13,Y
10510513,1,8,Y
10512712,2,35,Y
10513313,2,15,Y
10520812,1,8,Y
10522112,2,63,Y
10522611,2,59,Y
10529011,2,85,Y
10532711,2,27,Y
10533111,2,41,Y
10534713,1,7,Y
10536712,2,91,Y
10537511,1,61,Y
10539113,2,39,Y
10541913,2,17,Y
10545014,2,17,Y
10545611,1,86,Y
10545912,2,82,Y
10547114,2,75,Y
10548512,2,27,Y
10550314,1,3,Y
10551111,2,61,Y
10551312,2,26,Y
10552511,1,56,Y
10555811,1,23,Y
10556313,2,43,Y
10556511,1,72,Y
10556813,2,29,Y
10557813,1,6,Y
10559115,2,14,Y
10560913,1,13,Y
10568811,1,65,Y
10569813,2,23,Y
10569814,1,1,Y
10570211,1,81,Y
10570311,2,73,Y
10572313,2,3,Y
10573511,1,52,Y
10576011,1,48,Y
10576013,2,10,Y
10576314,2,5,Y
10580412,1,57,Y
10606611,2,76,Y
10607014,1,6,Y
10610912,1,13,Y
10613912,1,73,Y
10615415,1,35,Y
10617411,2,71,Y
10617611,2,25,Y
10619312,2,44,Y
10619413,1,16,Y
10621212,2,58,Y
10621213,2,14,Y
10622911,2,48,Y
10754611,2,33,Y
10754911,1,38,Y
10759111,2,66,Y
10764112,1,15,Y
10764613,1,6,Y
10765011,2,47,Y
10767712,1,23,Y
10767724,1,10,Y
10773812,2,51,Y
10776911,2,50,Y
10778311,2,35,Y
10780811,1,77,Y
10782722,2,76,Y
10784312,1,78,Y
10786113,1,21,Y
10786115,1,15,Y
10790113,1,29,Y
10791613,2,79,Y
10791814,2,16,Y
10800812,1,31,Y
10800912,1,34,Y
10806511,1,55,Y
10806512,2,62,Y
10807113,2,77,Y
10808112,1,64,Y
10808411,2,42,Y
10809815,1,12,Y
10812112,2,61,Y
10812415,2,19,Y
10816612,1,62,Y
10817814,2,4,Y
10821013,2,15,Y
10821211,1,64,Y
10821311,2,51,Y
10822012,2,46,Y
10822013,1,22,Y
10822511,2,59,Y
10834912,2,24,Y
10836012,2,21,Y
10837711,1,29,Y
10854111,2,81,Y
10858913,2,33,Y
10862411,2,42,Y
10863513,1,21,Y
10865012,2,55,Y
10865013,2,26,Y
10869211,1,45,Y
10869711,2,59,Y
10871713,1,19,Y
10873412,2,28,Y
10873414,2,22,Y
10873611,2,71,Y
10875111,1,44,Y
10876713,2,11,Y
10880813,1,7,Y
10889811,2,54,Y
10889813,1,24,Y
10889814,1,17,Y
10889815,2,82,Y
10895112,2,51,Y
10896213,1,13,Y
10898011,2,52,Y
10898311,2,41,Y
10900112,2,27,Y
10908312,1,29,Y
10912611,1,66,Y
10913212,2,93,Y
10914411,2,48,Y
10924512,2,5,Y
10925912,2,55,Y
10927415,2,16,Y
10930611,2,38,Y
10937411,2,23,Y
10939811,2,54,Y
10943115,1,6,Y
10944113,1,4,Y
10944915,1,7,Y
10945013,2,16,Y
10945512,1,10,Y
10945514,2,23,Y
10946213,2,82,Y
11012513,1,22,Y
11013112,2,38,Y
11013313,1,20,Y
11014514,1,7,Y
11015312,2,66,Y
11015513,2,12,Y
11016713,2,8,Y
11016914,1,8,Y
11019112,2,20,Y
11019613,2,6,Y
11019614,1,1,Y
11019713,2,9,Y
11020713,1,16,Y
11024512,1,34,Y
11024513,2,4,Y
11025412,2,76,Y
11025511,2,87,Y
11025912,1,25,Y
11027212,2,35,Y
11027213,1,43,Y
11031411,1,28,Y
11034311,1,68,Y
11044412,2,55,Y
11044915,1,19,Y
11050914,1,17,Y
11052911,2,50,Y
11052912,1,25,Y
11055513,1,9,Y
11057811,2,44,Y
11059111,2,41,Y
11062012,2,30,Y
11062415,2,3,Y
11063114,2,14,Y
11063912,1,14,Y
11073014,2,6,Y
11075212,2,38,Y
11082714,1,27,Y
11083914,2,5,Y
11085012,2,55,Y
11094111,2,45,Y
11098711,2,80,Y
11100012,1,52,Y
11100211,1,61,Y
11100711,2,26,Y
11108911,2,48,Y
11110011,2,49,Y
11110512,2,27,Y
11110613,1,5,Y
11111516,1,9,Y
11114113,1,9,Y
11117614,2,8,Y
11119012,2,26,Y
11121412,1,24,Y
11126013,1,18,Y
11126015,1,17,Y
11127912,1,13,Y
11128311,2,46,Y
11128313,1,24,Y
11128314,1,23,Y
11128413,1,6,Y
11132912,2,57,Y
11132914,2,30,Y
11133711,2,25,Y
11133912,1,23,Y
11136411,2,50,Y
11137013,1,14,Y
11137312,2,22,Y
11137414,1,6,Y
11137614,1,18,Y
11138214,1,14,Y
11139312,1,23,Y
11140911,2,29,Y
11141712,2,69,Y
11145212,2,14,Y
11146411,1,53,Y
11148713,2,33,Y
11149811,2,57,Y
11151511,2,27,Y
11152512,2,65,Y
11153113,2,15,Y
11156612,1,68,Y
11157513,2,17,Y
11160911,1,73,Y
11162412,2,41,Y
11162413,1,22,Y
11163311,2,55,Y
11163512,1,14,Y
11165211,2,70,Y
11166114,2,5,Y
11168313,1,25,Y
11168712,2,63,Y
11169412,2,51,Y
11173012,1,8,Y
11173813,1,15,Y
11174614,1,4,Y
11175611,2,63,Y
11176114,1,2,Y
11177013,1,11,Y
11177014,1,11,Y
11186812,2,8,Y
11187912,2,28,Y
11189011,1,61,Y
11189212,2,69,Y
11190011,1,41,Y
11190711,2,73,Y
11192613,2,18,Y
11201511,2,75,Y
11206912,1,90,Y
11207512,1,38,Y
11208411,1,61,Y
11208811,2,73,Y
11209012,2,29,Y
11210123,1,16,Y
11210811,1,49,Y
11212813,2,20,Y
11214113,1,29,Y
11214211,1,23,Y
11215322,2,38,Y
11215324,2,4,Y
11217811,2,38,Y
11227113,1,22,Y
11228411,2,30,Y
11229013,1,10,Y
11233211,2,81,Y
11234812,2,25,Y
11237711,2,42,Y
11237813,1,6,Y
11245414,1,72,Y
11245416,1,17,Y
11254614,2,24,Y
11255514,2,29,Y
11256512,1,23,Y
11258611,1,47,Y
11259011,2,29,Y
11259514,1,19,Y
11260212,2,22,Y
11260413,1,25,Y
11264212,2,19,Y
11267112,2,77,Y
11268011,2,73,Y
11269011,1,31,Y
11270714,1,11,Y
11274312,1,18,Y
11275411,1,44,Y
11277513,1,7,Y
12155412,2,66,Y
12157311,1,71,Y
12158011,2,35,Y
12159711,2,43,Y
12161112,2,17,Y
12162312,2,8,Y
12162512,2,64,Y
12163714,2,15,Y
12165514,1,7,Y
12166713,2,13,Y
12169412,2,41,Y
12172112,2,53,Y
12176011,2,41,Y
12179411,1,28,Y
12183813,1,5,Y
12186414,1,4,Y
12188813,1,18,Y
12188814,2,10,Y
12190014,2,9,Y
12195415,1,23,Y
12195513,1,22,Y
12202012,1,18,Y
12202013,1,12,Y
12205921,2,38,Y
12205922,2,10,Y
12209311,1,83,Y
12211414,1,9,Y
12214518,1,3,Y
12216211,1,56,Y
12217914,2,6,Y
12218011,1,57,Y
12224713,1,1,Y
12225013,2,13,Y
12226712,2,2,Y
12227114,1,9,Y
12229715,1,18,Y
12229813,1,28,Y
12229913,2,34,Y
12229914,1,11,Y
