DIRECTORIO_HOG,municipio
1010331,Bogotá
1010411,Bogotá
1010421,Bogotá
1010471,Bogotá
1010591,Bogotá
1010591,Bogotá
1010631,Bogotá
1010891,Bogotá
1010891,Bogotá
1011422,Bogotá
1011582,Bogotá
1011891,Bogotá
1012001,Bogotá
1012081,Bogotá
1012381,Bogotá
1012701,Bogotá
1012811,Bogotá
1012911,Bogotá
1012961,Bogotá
1013971,Bogotá
1014061,Bogotá
1014191,Bogotá
1014191,Bogotá
1014201,Bogotá
1014431,Bogotá
1014451,Bogotá
1014521,Bogotá
1015431,Bogotá
1015431,Bogotá
1015501,Bogotá
1015511,Bogotá
1016241,Bogotá
1016241,Bogotá
1016891,Bogotá
1017011,Bogotá
1017131,Bogotá
1017131,Bogotá
1017461,Bogotá
1017511,Bogotá
1017571,Bogotá
1017591,Bogotá
1017641,Bogotá
1017651,Bogotá
1017931,Bogotá
1018081,Bogotá
1018581,Bogotá
1018931,Bogotá
1019041,Bogotá
1019091,Bogotá
1019101,Bogotá
1019121,Bogotá
1019271,Bogotá
1020041,Bogotá
1020041,Bogotá
1021241,Bogotá
1021311,Bogotá
1021351,Bogotá
1021471,Bogotá
1021621,Bogotá
1021621,Bogotá
1021691,Bogotá
1021701,Bogotá
1021791,Bogotá
1021971,Bogotá
1022011,Bogotá
1022051,Bogotá
1022071,Bogotá
1022071,Bogotá
1022121,Bogotá
1022231,Bogotá
1022691,Bogotá
1022981,Bogotá
1023421,Bogotá
1023451,Bogotá
1023601,Bogotá
1023671,Bogotá
1023891,Bogotá
1023921,Bogotá
1024641,Bogotá
1024671,Bogotá
1024771,Bogotá
1024851,Bogotá
1025121,Bogotá
1025191,Bogotá
1025271,Bogotá
1025291,Bogotá
1025351,Bogotá
1025601,Bogotá
1025691,Bogotá
1025881,Bogotá
1026001,Bogotá
1026001,Bogotá
1026111,Bogotá
1026121,Bogotá
1026191,Bogotá
1026681,Bogotá
1026781,Bogotá
1026791,Bogotá
1026861,Bogotá
1027661,Bogotá
1027831,Bogotá
1028331,Bogotá
1028371,Bogotá
1028961,Bogotá
1028981,Bogotá
1029631,Bogotá
1029691,Bogotá
1030061,Bogotá
1030211,Bogotá
1031291,Bogotá
1031321,Bogotá
1031941,Bogotá
1031952,Bogotá
1032001,Bogotá
1032071,Bogotá
1032121,Bogotá
1032511,Bogotá
1032551,Bogotá
1032921,Bogotá
1032991,Bogotá
1032991,Bogotá
1032991,Bogotá
1033191,Bogotá
1033201,Bogotá
1033351,Bogotá
1033351,Bogotá
1033351,Bogotá
1033411,Bogotá
1033811,Bogotá
1033831,Bogotá
1034011,Bogotá
1034011,Bogotá
1034141,Bogotá
1034151,Bogotá
1034421,Bogotá
1034421,Bogotá
1034421,Bogotá
1034431,Bogotá
1034471,Bogotá
1034531,Bogotá
1037531,Bogotá
1037831,Bogotá
1038351,Bogotá
1038691,Bogotá
1038701,Bogotá
1038721,Bogotá
1038941,Bogotá
1038951,Bogotá
1038991,Bogotá
1039092,Bogotá
1039391,Bogotá
1039511,Bogotá
1040831,Bogotá
1041002,Bogotá
1041062,Bogotá
1041361,Bogotá
1041381,Bogotá
1041461,Bogotá
1041461,Bogotá
1041551,Bogotá
1041831,Bogotá
1042251,Bogotá
1042451,Bogotá
1042721,Bogotá
1042891,Bogotá
1042951,Bogotá
1044091,Bogotá
1044141,Bogotá
1044291,Bogotá
1044361,Bogotá
1044481,Bogotá
1044571,Bogotá
1044642,Bogotá
1045111,Bogotá
1045161,Bogotá
1045171,Bogotá
1045191,Bogotá
1045311,Bogotá
1045391,Bogotá
1045661,Bogotá
1046001,Bogotá
1046061,Bogotá
1046061,Bogotá
1046161,Bogotá
1046161,Bogotá
1046441,Bogotá
1046501,Bogotá
1046651,Bogotá
1047091,Bogotá
1047151,Bogotá
1047361,Bogotá
1047551,Bogotá
1047691,Bogotá
1047711,Bogotá
1048211,Bogotá
1048471,Bogotá
1048801,Bogotá
1048881,Bogotá
1049591,Bogotá
1049661,Bogotá
1049771,Bogotá
1049961,Bogotá
1050191,Bogotá
1050191,Bogotá
1050261,Bogotá
1050281,Bogotá
1050291,Bogotá
1050291,Bogotá
1050311,Bogotá
1050311,Bogotá
1050381,Bogotá
1050731,Bogotá
1050811,Bogotá
1050931,Bogotá
1050961,Bogotá
1051051,Bogotá
1051271,Bogotá
1051331,Bogotá
1052081,Bogotá
1052211,Bogotá
1052261,Bogotá
1052901,Bogotá
1053271,Bogotá
1053311,Bogotá
1053471,Bogotá
1053671,Bogotá
1053751,Bogotá
1053911,Bogotá
1054191,Bogotá
1054501,Bogotá
1054561,Bogotá
1054591,Bogotá
1054711,Bogotá
1054851,Bogotá
1055031,Bogotá
1055111,Bogotá
1055131,Bogotá
1055251,Bogotá
1055581,Bogotá
1055631,Bogotá
1055651,Bogotá
1055681,Bogotá
1055781,Bogotá
1055911,Bogotá
1056091,Bogotá
1056881,Bogotá
1056981,Bogotá
1056981,Bogotá
1057021,Bogotá
1057031,Bogotá
1057231,Bogotá
1057351,Bogotá
1057601,Bogotá
1057601,Bogotá
1057631,Bogotá
1058041,Bogotá
1060661,Bogotá
1060701,Bogotá
1061091,Bogotá
1061391,Bogotá
1061541,Bogotá
1061741,Bogotá
1061761,Bogotá
1061931,Bogotá
1061941,Bogotá
1062121,Bogotá
1062121,Bogotá
1062291,Bogotá
1075461,Bogotá
1075491,Bogotá
1075911,Bogotá
1076411,Bogotá
1076461,Bogotá
1076501,Bogotá
1076771,Bogotá
1076772,Bogotá
1077381,Bogotá
1077691,Bogotá
1077831,Bogotá
1078081,Bogotá
1078272,Bogotá
1078431,Bogotá
1078611,Bogotá
1078611,Bogotá
1079011,Bogotá
1079161,Bogotá
1079181,Bogotá
1080081,Bogotá
1080091,Bogotá
1080651,Bogotá
1080651,Bogotá
1080711,Bogotá
1080811,Bogotá
1080841,Bogotá
1080981,Bogotá
1081211,Bogotá
1081241,Bogotá
1081661,Bogotá
1081781,Bogotá
1082101,Bogotá
1082121,Bogotá
1082131,Bogotá
1082201,Bogotá
1082201,Bogotá
1082251,Bogotá
1083491,Bogotá
1083601,Bogotá
1083771,Bogotá
1085411,Bogotá
1085891,Bogotá
1086241,Bogotá
1086351,Bogotá
1086501,Bogotá
1086501,Bogotá
1086921,Bogotá
1086971,Bogotá
1087171,Bogotá
1087341,Bogotá
1087341,Bogotá
1087361,Bogotá
1087511,Bogotá
1087671,Bogotá
1088081,Bogotá
1088981,Bogotá
1088981,Bogotá
1088981,Bogotá
1088981,Bogotá
1089511,Bogotá
