DIRECTORIO,DIRECTORIO_HOG,DIRECTORIO_PER,humedad,ventilacion,paredExterior,paredExterior,materialPisos,materialPisos,cercaniaFabricaIndustria,cercaniaBasurerors,cercaniaTerminales,cercaniaCanios,contaminacionAire,contaminacionBasuras,humedad_actual,ventilacion_actual,materialPisos_actual,contaminacionAire_actual,contaminacionBasuras_actual
101033,1010331,10103311,2,2,1,1,4,4,2,2,2,2,2,2,Y,Y,Y,Y,Y
101041,1010411,10104112,2,2,1,1,4,4,1,1,1,2,1,1,Y,Y,Y,Y,Y
101042,1010421,10104213,2,2,1,1,2,2,2,2,2,2,2,2,Y,Y,Y,Y,Y
101047,1010471,10104713,1,2,1,1,4,4,2,2,2,2,2,2,Y,Y,Y,Y,Y
101059,1010591,10105914,2,2,1,1,4,4,2,2,2,2,2,2,Y,Y,Y,Y,Y
101059,1010591,10105915,2,2,1,1,4,4,2,2,2,2,2,2,Y,Y,Y,Y,Y
101063,1010631,10106311,2,2,1,1,3,3,2,2,2,2,2,2,Y,Y,Y,Y,Y
101089,1010891,10108911,2,2,1,1,4,4,2,2,2,2,1,1,Y,Y,Y,Y,Y
101089,1010891,10108914,2,2,1,1,4,4,2,2,2,2,1,1,Y,Y,Y,Y,Y
101142,1011422,10114221,2,2,1,1,2,2,2,2,2,2,2,2,Y,Y,Y,Y,Y
101158,1011582,10115822,2,2,1,1,4,4,2,2,2,2,2,2,Y,Y,Y,Y,Y
101189,1011891,10118916,2,2,1,1,4,4,2,2,2,2,2,2,Y,Y,Y,Y,Y
101200,1012001,10120013,1,1,1,1,4,4,1,1,1,2,1,1,Y,Y,Y,Y,Y
101208,1012081,10120812,2,2,1,1,4,4,1,1,1,1,1,2,Y,Y,Y,Y,Y
101238,1012381,10123812,1,2,1,1,6,6,2,2,2,2,2,2,Y,Y,Y,Y,Y
101270,1012701,10127011,2,2,1,1,4,4,2,1,2,1,1,2,Y,Y,Y,Y,Y
101281,1012811,10128111,2,2,1,1,4,4,2,2,2,2,2,2,Y,Y,Y,Y,Y
101291,1012911,10129118,1,1,1,1,6,6,2,2,2,2,2,1,Y,Y,Y,Y,Y
101296,1012961,10129614,1,1,1,1,6,6,2,2,2,2,2,2,Y,Y,Y,Y,Y
101397,1013971,10139713,2,2,1,1,4,4,2,2,2,1,2,1,Y,Y,Y,Y,Y
101406,1014061,10140612,2,2,1,1,4,4,2,2,2,2,2,2,Y,Y,Y,Y,Y
101419,1014191,10141911,2,2,1,1,2,2,2,2,2,2,1,2,Y,Y,Y,Y,Y
101419,1014191,10141912,2,2,1,1,2,2,2,2,2,2,1,2,Y,Y,Y,Y,Y
101420,1014201,10142011,1,2,1,1,4,4,2,2,2,2,1,2,Y,Y,Y,Y,Y
101443,1014431,10144311,2,2,1,1,4,4,2,2,2,2,2,2,Y,Y,Y,Y,Y
101445,1014451,10144511,2,2,1,1,4,4,2,2,2,2,1,2,Y,Y,Y,Y,Y
101452,1014521,10145213,2,2,1,1,4,4,2,2,2,2,1,2,Y,Y,Y,Y,Y
101543,1015431,10154311,1,2,1,1,4,4,2,2,2,2,2,1,Y,Y,Y,Y,Y
101543,1015431,10154315,1,2,1,1,4,4,2,2,2,2,2,1,Y,Y,Y,Y,Y
101550,1015501,10155011,2,2,1,1,4,4,2,2,2,2,2,1,Y,Y,Y,Y,Y
101551,1015511,10155113,1,2,1,1,4,4,2,1,2,2,1,1,Y,Y,Y,Y,Y
101624,1016241,10162411,2,1,1,1,4,4,2,1,2,2,1,1,Y,Y,Y,Y,Y
101624,1016241,10162412,2,1,1,1,4,4,2,1,2,2,1,1,Y,Y,Y,Y,Y
101689,1016891,10168912,2,2,1,1,4,4,2,2,2,2,1,2,Y,Y,Y,Y,Y
101701,1017011,10170114,1,2,1,1,4,4,2,2,2,2,1,2,Y,Y,Y,Y,Y
101713,1017131,10171315,2,2,1,1,4,4,2,1,1,2,2,2,Y,Y,Y,Y,Y
101713,1017131,10171316,2,2,1,1,4,4,2,1,1,2,2,2,Y,Y,Y,Y,Y
101746,1017461,10174613,2,2,1,1,4,4,2,2,2,1,1,2,Y,Y,Y,Y,Y
101751,1017511,10175112,2,2,1,1,4,4,2,1,2,2,1,2,Y,Y,Y,Y,Y
101757,1017571,10175713,2,2,1,1,4,4,2,2,2,2,1,2,Y,Y,Y,Y,Y
101759,1017591,10175913,1,2,1,1,4,4,2,2,2,1,1,2,Y,Y,Y,Y,Y
101764,1017641,10176413,2,2,1,1,4,4,2,2,2,1,1,2,Y,Y,Y,Y,Y
101765,1017651,10176513,2,2,1,1,4,4,2,2,2,2,1,2,Y,Y,Y,Y,Y
